0.000	0.019
50.000	0.000
100.000	0.002
150.000	0.000
200.000	0.000
250.000	0.001
300.000	0.000
350.000	0.001
400.000	0.000
450.000	0.000
500.000	0.001
550.000	0.001
600.000	0.001
650.000	0.000
700.000	0.000
750.000	0.000
800.000	0.001
850.000	0.000
900.000	0.000
950.000	0.000
1000.000	0.000
1050.000	0.000
1100.000	0.000
1150.000	0.000
1200.000	0.001
1250.000	0.000
1300.000	0.006
1350.000	0.001
1400.000	0.000
1450.000	0.000
1500.000	0.004
1550.000	0.000
1600.000	0.001
1650.000	0.000
1700.000	0.000
1750.000	0.001
1800.000	0.000
1850.000	0.001
1900.000	0.000
1950.000	0.004
2000.000	2.093
2050.000	6.482
2100.000	2.534
2150.000	6.910
2200.000	12.770
2250.000	11.964
2300.000	0.936
2350.000	7.710
2400.000	0.019
2450.000	3.124
2500.000	13.656
2550.000	28.350
2600.000	49.756
2650.000	39.257
2700.000	0.201
2750.000	0.043
2800.000	0.043
2850.000	0.073
2900.000	0.081
2950.000	0.123
3000.000	0.369
3050.000	0.186
3100.000	249.495
3150.000	243.252
3200.000	146.406
3250.000	59.450
3300.000	33.441
3350.000	39.104
3400.000	22.568
3450.000	7.113
3500.000	14.787
